#Gradient,%white,%red,%blue,%sonarDifference,false/red/blue/arm
8.0000,0.4028,0.1806,0.0417,-1.0000,f
8.0000,0.7778,0.0000,0.0139,-1.0000,f
4.6923,0.6444,0.0139,0.0946,-1.0000,b
0.5909,0.5096,0.0830,0.0210,-1.0000,f
6.2500,0.0000,0.0000,0.0100,-1.0000,f
5.5556,0.6511,0.0756,0.0356,-1.0000,r
4.6000,0.2000,0.0000,0.0261,-1.0000,f
1.3333,0.2546,0.0139,0.0347,-1.0000,f
0.4444,0.0944,0.0056,0.0311,-1.0000,f
3.2000,0.4000,0.0625,0.0750,-1.0000,f
4.8000,0.6000,0.0729,0.0312,-1.0000,r
4.5000,0.2222,0.1111,0.0556,-1.0000,f
5.3333,0.2708,0.2500,0.0417,-1.0000,f
3.8333,0.1667,0.2029,0.0290,-1.0000,f
1.1818,0.2150,0.0122,0.0647,-1.0000,f
1.8889,0.0000,0.0000,0.0000,-1.0000,f
5.6667,0.0000,0.0000,0.0000,-1.0000,f
5.2500,0.0595,0.0000,0.0476,-1.0000,f
6.8571,0.7440,0.0595,0.0298,-1.0000,r
6.6667,0.1333,0.2500,0.0500,-1.0000,f
1.0909,0.2273,0.0057,0.0341,-1.0000,f
2.4000,0.0000,0.0042,0.0125,-1.0000,f
6.3333,0.0000,0.0000,0.0000,-1.0000,f
6.2500,0.6925,0.0675,0.0275,-1.0000,r
3.1250,0.1700,0.0400,0.0600,-1.0000,f
2.7500,0.2557,0.0114,0.0227,-1.0000,f
0.8438,0.0162,0.0012,0.0324,-1.0000,f
4.1176,0.6202,0.0840,0.0387,-1.0000,r
5.7500,0.1848,0.0978,0.0435,-1.0000,f
5.7500,0.2826,0.1196,0.0435,-1.0000,f
1.7647,0.1059,0.0863,0.0471,-1.0000,f
2.4000,0.2917,0.0125,0.0125,-1.0000,f
8.0000,0.1667,0.0278,0.0417,0.7180,f
4.4375,0.6303,0.0863,0.0246,0.1072,r
9.0000,0.1481,0.1481,0.0370,-1.0000,f
5.5000,0.0568,0.0682,0.0227,-1.0000,f
3.1429,0.2727,0.0195,0.0065,-1.0000,f
4.7500,0.3816,0.0000,0.0132,-1.0000,f
4.4706,0.6548,0.0836,0.0255,-1.0000,r
8.6667,0.0769,0.0000,0.0128,-1.0000,f
3.5714,0.2286,0.0057,0.0229,-1.0000,f
10.0000,0.3222,0.0111,0.0444,-1.0000,f
4.0000,0.0139,0.0000,0.0069,-1.0000,f
4.4118,0.6408,0.0816,0.0282,0.0643,r
9.6667,0.1379,0.2644,0.0690,-1.0000,f
7.6667,0.1159,0.0435,0.0145,-1.0000,f
5.6000,0.0429,0.0214,0.0643,-1.0000,f
2.0833,0.2467,0.0067,0.0133,-1.0000,f
8.2500,0.7273,0.0076,0.0379,-1.0000,f
4.1905,0.5801,0.0211,0.0882,-1.0000,b
13.0000,0.7009,0.0000,0.0000,-1.0000,f
7.6667,0.3188,0.0290,0.0145,0.7822,f
7.6667,0.1594,0.0435,0.0145,0.7799,f
3.8500,0.6331,0.0130,0.1045,0.1881,b
4.1053,0.6167,0.0189,0.0951,0.1963,b
3.5714,0.2571,0.0286,0.0057,0.7855,f
1.2353,0.1148,0.0700,0.0084,0.8258,f
2.6786,0.4805,0.0562,0.0376,0.2796,r
7.3333,0.8030,0.0152,0.0152,0.8076,f
4.0526,0.6425,0.0171,0.0882,0.2465,b
1.2381,0.5201,0.1648,0.0055,0.7685,f
1.3774,0.2866,0.0370,0.0388,0.2988,f
6.6667,0.7833,0.0000,0.0333,0.7730,f
4.7500,0.6974,0.0058,0.0674,0.0552,b
3.6667,0.5652,0.0785,0.0470,0.2555,r
4.3889,0.6217,0.0218,0.0949,0.2236,b
1.7273,0.4689,0.1340,0.0144,-1.0000,r
4.3333,0.6250,0.1010,0.0240,-1.0000,r
6.0000,0.6626,0.0103,0.0988,-1.0000,b
0.5588,0.3266,0.1393,0.0046,-1.0000,f
4.0000,0.4375,0.2222,0.0417,-1.0000,r
5.2727,0.6567,0.0737,0.0219,-1.0000,r
6.5556,0.6497,0.0226,0.0791,-1.0000,b
0.8889,0.3935,0.1373,0.0062,-1.0000,f
6.2222,0.7123,0.0655,0.0159,-1.0000,r
8.0000,0.7551,0.0102,0.0306,-1.0000,b
0.7857,0.3912,0.1331,0.0032,-1.0000,f
5.0909,0.6461,0.0877,0.0179,0.0739,r
8.4000,0.8048,0.0048,0.0095,0.2099,a
7.1250,0.5724,0.0175,0.1206,0.1127,b
6.1667,0.5270,0.0766,0.0180,0.3110,a
0.8571,0.3512,0.1429,0.0074,0.5570,f



